天天基金	总市值	419645.23	累计收益	37220.11
基金名称	基金代码	持仓成本	持仓份额	持仓市值	累计收益
富国中证红利指数增强	100032	1.0193	65064.33	72416.59	6096.59
广发养老指数A	000968	0.9167	63490.00	60651.99	2451.99
兴全可转债混合	340001	0.9886	32370.29	37109.30	5109.30
广发医药卫生联接A	001180	0.7451	41014.88	35260.49	4700.49
易方达安心回报债券A	110027	1.5931	20086.63	33645.10	1645.10
华安德国30(DAX)联接	000614	1.0910	20716.63	24735.65	2135.65
富国沪深300指数增强	100038	1.3129	14624.61	23969.73	4769.73
广发中证全指金融地产联接A	001469	0.9073	21163.93	23309.95	4109.95
交银中证海外中国互联网指数	164906	1.1444	16778.47	21493.22	2293.22
富国中证500指数(LOF)	161017	1.3432	9529.81	15552.64	2752.64
华宝标普油气上游股票	162411	0.5152	37267.45	14497.03	-4702.97
华夏恒生ETF联接A	000071	1.4562	6798.52	10230.41	330.41
易方达创业板ETF联接A	110026	1.3359	4791.13	8372.97	1972.97
华夏收益债券(QDII)A	001061	0.9172	5609.79	7584.43	2439.31
广发中证环保ETF联接A	001064	0.4775	13403.92	7285.03	885.03
长信可转债债券A	519977	1.2011	5328.62	7211.75	811.75
广发中证500ETF联接C	002903	0.9000	7778.64	6835.86	-164.14
广发中证传媒ETF联接A	004752	0.8150	7852.99	6038.94	-361.06
创金合信中证1000指数增强C	003647	0.9776	3580.20	3444.15	-55.85
