天天基金	总市值	415762.8	累计收益	33337.68
基金名称	基金代码	持仓成本	持仓份额	持仓市值	累计收益
富国中证红利指数增强	100032	1.0193	65064.33	71050.24	4730.24
广发养老指数A	000968	0.9167	63490.00	60118.68	1918.68
兴全可转债混合	340001	0.9886	32370.29	37080.16	5080.16
广发医药卫生联接A	001180	0.7451	41014.88	34760.11	4200.11
易方达安心回报债券A	110027	1.5931	20086.63	33765.62	1765.62
华安德国30(DAX)联接	000614	1.0910	20716.63	25046.40	2446.40
富国沪深300指数增强	100038	1.3129	14624.61	23530.99	4330.99
广发中证全指金融地产联接A	001469	0.9073	21163.93	22840.11	3640.11
交银中证海外中国互联网指数	164906	1.1444	16778.47	22080.46	2880.46
富国中证500指数(LOF)	161017	1.3432	9529.81	15114.27	2314.27
华宝标普油气上游股票	162411	0.5152	37267.45	13900.75	-5299.25
华夏恒生ETF联接A	000071	1.4562	6798.52	10231.09	331.09
易方达创业板ETF联接A	110026	1.3359	4791.13	8307.34	1907.34
华夏收益债券(QDII)A	001061	0.9172	5609.79	7567.60	2422.48
广发中证环保ETF联接A	001064	0.4775	13403.92	7272.96	872.96
长信可转债债券A	519977	1.2011	5328.62	7229.87	829.87
广发中证500ETF联接C	002903	0.9000	7778.64	6679.51	-320.49
广发中证传媒ETF联接A	004752	0.8150	7852.99	5876.39	-523.61
创金合信中证1000指数增强C	003647	0.9776	3580.20	3310.25	-189.75
