天天基金	总市值	432716.8	累计收益	54391.68
基金名称	基金代码	持仓成本	持仓份额	持仓市值	累计收益
富国中证红利指数增强	100032	0.9169	72337.79	73856.88	7536.88
广发养老指数A	000968	0.9167	63490.00	66340.70	8140.70
兴全可转债混合	340001	0.9886	32370.29	41223.56	9223.56
广发医药卫生联接A	001180	0.7451	41014.88	38492.46	7932.46
易方达安心回报债券A	110027	1.5931	20086.63	36638.01	4638.01
广发中证全指金融地产联接A	001469	0.9471	27031.68	29375.32	3775.32
富国沪深300指数增强	100038	1.3129	14624.61	24613.21	5413.21
交银中证海外中国互联网指数	164906	1.1444	16778.47	22902.61	3702.61
华安德国30(DAX)联接	000614	1.0910	20716.63	22373.96	-226.04
富国中证500指数(LOF)	161017	1.3432	9529.81	17763.56	4963.56
华宝标普油气上游股票人民币A	162411	0.5152	37267.45	10628.67	-8571.33
华夏恒生ETF联接A	000071	1.4562	6798.52	10007.42	107.42
广发中证环保ETF联接A	001064	0.4775	13403.92	8557.06	2157.06
长信可转债债券A	519977	1.2011	5328.62	8103.23	1703.23
华夏收益债券(QDII)A	001061	0.9172	5609.79	7646.14	2501.02
建信中证500指数增强A	000478	1.9397	3299.64	7098.84	698.84
广发中证传媒ETF联接A	004752	0.8150	7852.99	7095.17	695.17
